topic_name,Negative,Neutral,Positive
air dry,14,8,22
amp quot,10,7,33
baby room,12,2,26
bad product,13,5,36
boiling water,12,6,41
brand frequently,7,4,32
burning plastic,6,6,38
cane humidifier,10,5,46
clear plastic,11,4,40
collected promotion,15,6,39
comment issue,7,10,38
cool mist,15,2,25
cool steam,13,2,24
definitely help,3,5,38
difficult clean,4,9,23
distilled water,23,5,31
dry heat,13,5,35
easy clean,12,5,36
easy fill,11,6,24
easy filter,9,3,35
easy maintain,9,3,32
easy set,16,4,40
easy work,12,5,38
electrode compartment,12,2,32
excelente inversin,7,5,26
fcil de,15,4,17
feeling sick,12,7,52
filtered version,14,4,22
fit perfectly,16,2,28
good money,4,6,33
good product,12,5,29
hard clean,9,6,22
heating element,8,5,32
help breathe,16,9,36
help breathing,12,3,38
help keep,9,4,38
help sinus,10,1,41
high setting,8,7,30
hold gallon,16,8,26
humidifier hold,15,4,22
humidifier nightly,5,6,30
humidifier work,4,3,32
humidity room,11,2,33
image appears,10,4,37
instruction cleaning,11,6,29
lasted night,10,11,40
leave review,11,5,49
light bright,5,6,23
low setting,13,2,25
menthol pad,17,6,39
menthol vapor,10,5,33
mist humidifier,9,4,26
moist air,8,2,37
nice product,7,10,36
night bed,16,4,30
night sleep,4,3,30
noise level,10,2,35
plastic fume,6,3,34
product easy,13,4,45
product price,9,5,24
product work,7,4,29
put moisture,11,5,28
refill day,12,7,37
regular vicks,3,10,32
releasing humidity,9,4,34
replacement filter,15,7,24
reset light,10,8,27
scent money,10,7,28
scent pad,5,5,39
sinus issue,13,7,27
small room,12,4,31
smell eucalyptus,8,3,32
smell good,11,60,32
smell vicks,12,7,29
started grinding,7,1,37
started making,15,2,27
steam water,14,8,24
stopped working,14,6,32
support html5,10,3,31
tap water,12,6,41
toilet paper,8,3,36
vapor pad,5,7,32
vaporizer amp,7,1,30
vicks humidifier,8,2,32
vicks pad,7,4,34
vicks vaporizer,10,8,31
vinegar water,13,2,36
waste money,7,5,25
water steam,10,4,34
water tank,9,6,27
waterless vaporizer,8,6,27
white chalk,9,4,38
work advertised,10,6,30
work bedroom,10,3,29
work better,12,6,33
work good,12,9,31
work minute,13,1,37
work perfectly,9,5,29
working week,22,2,37
