topic_name,Negative,Neutral,Positive
accompany rating,42,21,174
amp quot,47,24,158
auto shut,54,22,176
baby room,60,28,158
best humidifier,52,29,141
boiling water,53,21,159
bought gift,52,24,142
breath better,51,33,157
browser support,65,19,157
clean quiet,53,24,148
clean work,42,18,124
clear sinus,64,28,206
day return,43,17,180
dry winter,66,29,198
easy clean,47,28,157
easy fill,51,31,164
easy helpful,30,25,163
easy maintain,49,20,172
easy operate,45,29,171
easy set,53,31,150
easy work,59,20,150
essential oil,37,22,196
exactly advertised,51,21,168
exactly needed,41,20,186
excellent product,59,29,160
fast delivery,56,24,127
fast shipping,46,20,167
good job,57,24,152
good money,53,38,166
good price,49,27,137
good product,66,30,156
good quality,48,30,208
good size,44,36,137
good small,51,25,160
good stuff,49,15,135
hard clean,49,24,173
help breathe,54,21,195
help cold,37,29,167
help sleep,42,29,176
hold water,54,32,167
keep humidifier,54,26,146
kid room,57,18,172
leaking water,55,33,145
leave review,41,25,168
lot water,38,18,158
moisture room,52,24,232
nice easy,68,24,137
nice humidifier,43,24,167
nice product,42,26,168
night light,42,21,145
pad work,66,17,164
perfect bedroom,63,15,156
poor quality,55,33,135
price work,55,33,186
produce steam,47,38,183
product price,41,24,153
product quiet,41,19,159
product received,51,22,146
product steam,52,22,154
quiet work,59,30,148
quit working,42,20,162
salt water,40,11,151
sinus relief,52,27,165
size easy,148,19,176
sleep night,53,17,173
small area,51,24,160
small room,42,27,164
smell good,61,19,161
smell vicks,39,22,154
steam coming,48,27,197
stopped working,56,24,157
tank water,48,20,161
tap water,51,455,160
vapo pad,49,26,168
vapo steam,38,27,148
vapor pad,37,42,145
vicks humidifier,52,17,186
vicks pad,44,21,158
waste money,57,28,151
waste time,69,39,159
water clean,38,27,154
work amazing,57,15,163
work bedroom,57,30,176
work easy,74,25,176
work expected,61,17,148
work good,40,20,138
work help,48,23,159
work humidifier,62,17,165
work minute,66,31,144
work night,55,27,171
work perfect,44,32,226
work perfectly,52,26,133
work problem,45,27,175
work quiet,54,22,201
work supposed,48,22,160
work wonder,44,23,152
working good,44,22,176
year ago,51,34,285
year stopped,57,17,143
