,Dominant_topic,topic_name
0,9,['season keep']
1,31,['good price']
2,79,['morning issue']
3,16,['humidifier time']
4,44,['moisture air']
5,17,['vicks pad']
6,62,['cold mist']
7,41,['super easy']
8,5,['warm steam']
9,34,['dry air']
10,94,['setting quiet']
11,35,['distilled water']
12,30,['steam start']
13,93,['couple week']
14,84,['strong smell']
15,11,['walked stopped']
16,92,['defective product']
17,69,['waste money']
18,4,['water tank']
19,71,['add dash']
20,73,['work easy']
21,86,['dry weather']
22,74,['vapor pad']
23,58,['sore throat']
24,29,['hard clean']
25,90,['high setting']
26,7,['cool mist']
27,38,['highest setting']
28,22,['worth money']
29,77,['work bought']
30,80,['humidifier day']
31,61,['water steam']
32,18,['water basin']
33,53,['heating element']
34,52,['sleep better']
35,20,['night time']
36,60,['carbon rod']
37,89,['work good']
38,95,['easy fill']
39,67,['night sleep']
40,8,['amazon customer']
41,57,['help breathe']
42,85,['leave review']
43,43,['steam room']
44,87,['add salt']
45,59,['filled water']
46,28,['setting water']
47,36,['working day']
48,78,['place top']
49,98,['sinus infection']
50,2,['good product']
51,63,['amp quot']
52,54,['tank water']
53,49,['vicks model']
54,24,['humidifier broken']
55,48,['fit humidifier']
56,64,['keep clean']
57,91,['leak water']
58,83,['waterless humidifier']
59,66,['good work']
60,14,['humidity room']
61,15,['mist humidifier']
62,81,['product work']
63,68,['work advertised']
64,70,['reapplying vicks']
65,82,['prior model']
66,51,['item leaking']
67,50,['clear sinus']
68,37,['work better']
69,12,['vicks insert']
70,99,['product price']
71,42,['daughter sick']
72,55,['smell vicks']
73,3,['essential oil']
74,26,['clean humidifier']
75,33,['green light']
76,72,['uncomfortably dry']
77,40,['hour buy']
78,47,['heating unit']
79,25,['product easy']
80,96,['plastic smell']
81,97,['work perfectly']
82,21,['salt steam']
83,27,['fill water']
84,10,['work expected']
85,6,['warm mist']
86,65,['work wonder']
87,56,['money buy']
88,39,['rated star']
89,100,['liquid inhalant']
90,101,['stopped working']
91,46,['good humidifier']
92,32,['red light']
93,88,['smell work']
94,13,['pad work']
95,76,['steam inhaler']
96,75,['small room']
97,45,['money product']
98,19,['winter month']
99,23,['cheaper model']
