,Dominant_topic,topic_name
0,15,['excellent product']
1,21,['easy work']
2,22,['easy clean']
3,18,['mist humidifiers']
4,26,['heating element']
5,7,['night light']
6,4,['humidifier work']
7,2,['water tank']
8,17,['work easy']
9,5,['vicks vapor']
10,20,['hard clean']
11,3,['breath better']
12,16,['humidity level']
13,19,['easy set']
14,10,['stopped working']
15,25,['best humidifier']
16,11,['hot water']
17,9,['help breathe']
18,8,['good product']
19,12,['perfect small']
20,13,['work good']
21,24,['hard water']
22,6,['waste money']
23,23,['distilled water']
24,14,['leave review']
